FIPS_Code,State,County,Civilian_labor_force_2022,Employed_2022,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Unemployed_2022,Unemployment_rate_2022
13001,GA,"Appling County, GA",9693,9346,70.4,51217,347,3.6
13003,GA,"Atkinson County, GA",4316,4193,63.3,46060,123,2.8
13005,GA,"Bacon County, GA",4848,4700,63.3,46044,148,3.1
13007,GA,"Baker County, GA",1116,1070,68.9,50129,46,4.1
13009,GA,"Baldwin County, GA",17648,16918,68.6,49883,730,4.1
13011,GA,"Banks County, GA",11183,10932,92,66928,251,2.2
13013,GA,"Barrow County, GA",42983,41863,106.7,77583,1120,2.6
13015,GA,"Bartow County, GA",52182,50633,110,80017,1549,3
13017,GA,"Ben Hill County, GA",5593,5343,56.6,41141,250,4.5
13019,GA,"Berrien County, GA",7752,7498,67,48725,254,3.3
13021,GA,"Bibb County, GA",65086,62563,66.7,48539,2523,3.9
13023,GA,"Bleckley County, GA",4567,4366,77.1,56070,201,4.4
13025,GA,"Brantley County, GA",7388,7124,69.2,50370,264,3.6
13027,GA,"Brooks County, GA",6651,6435,59.6,43353,216,3.2
13029,GA,"Bryan County, GA",20117,19579,127.9,93057,538,2.7
13031,GA,"Bulloch County, GA",38395,37053,68,49471,1342,3.5
13033,GA,"Burke County, GA",8999,8516,68,49431,483,5.4
13035,GA,"Butts County, GA",11307,10983,85.6,62231,324,2.9
13037,GA,"Calhoun County, GA",2235,2163,54.6,39681,72,3.2
13039,GA,"Camden County, GA",21813,21139,93,67628,674,3.1
13043,GA,"Candler County, GA",6027,5876,61.2,44493,151,2.5
13045,GA,"Carroll County, GA",57136,55328,96.1,69924,1808,3.2
13047,GA,"Catoosa County, GA",33434,32512,92,66918,922,2.8
13049,GA,"Charlton County, GA",5051,4888,66.2,48147,163,3.2
13051,GA,"Chatham County, GA",144022,139525,88,64029,4497,3.1
13053,GA,"Chattahoochee County, GA",1882,1793,79.1,57507,89,4.7
13055,GA,"Chattooga County, GA",9282,8881,69.7,50714,401,4.3
13057,GA,"Cherokee County, GA",142420,138955,137.4,99932,3465,2.4
13059,GA,"Clarke County, GA",57972,55998,68.5,49832,1974,3.4
13061,GA,"Clay County, GA",828,771,52.2,37961,57,6.9
13063,GA,"Clayton County, GA",139968,134296,79.2,57625,5672,4.1
13065,GA,"Clinch County, GA",3034,2948,62.7,45595,86,2.8
13067,GA,"Cobb County, GA",430506,419024,133.1,96798,11482,2.7
13069,GA,"Coffee County, GA",18560,17875,67.1,48792,685,3.7
13071,GA,"Colquitt County, GA",21895,21252,67.7,49214,643,2.9
13073,GA,"Columbia County, GA",75689,73484,129.5,94224,2205,2.9
13075,GA,"Cook County, GA",8226,7963,61.1,44476,263,3.2
13077,GA,"Coweta County, GA",77557,75424,120.5,87618,2133,2.8
13079,GA,"Crawford County, GA",5340,5167,82.9,60295,173,3.2
13081,GA,"Crisp County, GA",9731,9305,60.3,43884,426,4.4
13083,GA,"Dade County, GA",8038,7822,82.1,59708,216,2.7
13085,GA,"Dawson County, GA",13388,13047,116.2,84551,341,2.5
13087,GA,"Decatur County, GA",11716,11322,63.9,46455,394,3.4
13089,GA,"DeKalb County, GA",404413,391314,105.5,76736,13099,3.2
13091,GA,"Dodge County, GA",6854,6588,60.2,43783,266,3.9
13093,GA,"Dooly County, GA",4726,4531,63.5,46191,195,4.1
13095,GA,"Dougherty County, GA",36387,34767,58.6,42629,1620,4.5
13097,GA,"Douglas County, GA",74978,72462,108.9,79242,2516,3.4
13099,GA,"Early County, GA",4252,4088,59.7,43417,164,3.9
13101,GA,"Echols County, GA",1857,1810,64.9,47195,47,2.5
13103,GA,"Effingham County, GA",33627,32741,121.1,88111,886,2.6
13105,GA,"Elbert County, GA",7844,7543,67.7,49220,301,3.8
13107,GA,"Emanuel County, GA",8684,8318,64.6,46975,366,4.2
13109,GA,"Evans County, GA",5032,4880,62.1,45163,152,3
13111,GA,"Fannin County, GA",11927,11599,83.3,60604,328,2.8
13113,GA,"Fayette County, GA",59436,57837,150.3,109358,1599,2.7
13115,GA,"Floyd County, GA",44672,43261,77.9,56651,1411,3.2
13117,GA,"Forsyth County, GA",129933,126811,180,130909,3122,2.4
13119,GA,"Franklin County, GA",9983,9656,68.7,49940,327,3.3
13121,GA,"Fulton County, GA",574466,555616,123.4,89798,18850,3.3
13123,GA,"Gilmer County, GA",12505,12113,93.9,68294,392,3.1
13125,GA,"Glascock County, GA",1248,1208,76.4,55539,40,3.2
13127,GA,"Glynn County, GA",39564,38360,87.3,63532,1204,3
13129,GA,"Gordon County, GA",28906,28062,87.9,63946,844,2.9
13131,GA,"Grady County, GA",10878,10540,66.7,48548,338,3.1
13133,GA,"Greene County, GA",7353,7113,102.4,74488,240,3.3
13135,GA,"Gwinnett County, GA",500085,486171,115.4,83918,13914,2.8
13137,GA,"Habersham County, GA",18689,18094,85.8,62428,595,3.2
13139,GA,"Hall County, GA",107053,104415,105.6,76789,2638,2.5
13141,GA,"Hancock County, GA",2499,2372,53,38570,127,5.1
13143,GA,"Haralson County, GA",12994,12588,79.6,57912,406,3.1
13145,GA,"Harris County, GA",16571,16098,124.6,90636,473,2.9
13147,GA,"Hart County, GA",12097,11721,77.2,56137,376,3.1
13149,GA,"Heard County, GA",5316,5152,78,56724,164,3.1
13151,GA,"Henry County, GA",120416,116498,113.2,82379,3918,3.3
13153,GA,"Houston County, GA",70326,68062,97.9,71237,2264,3.2
13155,GA,"Irwin County, GA",3528,3384,67.7,49224,144,4.1
13157,GA,"Jackson County, GA",48197,47224,112.9,82138,973,2
13159,GA,"Jasper County, GA",7186,6993,87.6,63718,193,2.7
13161,GA,"Jeff Davis County, GA",6148,5919,63.4,46143,229,3.7
13163,GA,"Jefferson County, GA",6556,6283,61.1,44459,273,4.2
13165,GA,"Jenkins County, GA",3286,3141,57.5,41830,145,4.4
13167,GA,"Johnson County, GA",4023,3904,58.6,42603,119,3
13169,GA,"Jones County, GA",13245,12842,90.1,65515,403,3
13171,GA,"Lamar County, GA",8370,8087,84.6,61542,283,3.4
13173,GA,"Lanier County, GA",3753,3620,69.7,50671,133,3.5
13175,GA,"Laurens County, GA",19257,18496,65.9,47918,761,4
13177,GA,"Lee County, GA",15010,14563,115.8,84260,447,3
13179,GA,"Liberty County, GA",26025,25141,82.2,59807,884,3.4
13181,GA,"Lincoln County, GA",3500,3374,95.9,69776,126,3.6
13183,GA,"Long County, GA",8428,8157,98,71285,271,3.2
13185,GA,"Lowndes County, GA",50175,48471,72.3,52623,1704,3.4
13187,GA,"Lumpkin County, GA",17974,17510,98.3,71486,464,2.6
13189,GA,"McDuffie County, GA",8389,8005,69.6,50593,384,4.6
13191,GA,"McIntosh County, GA",6192,5994,70.7,51411,198,3.2
13193,GA,"Macon County, GA",4523,4328,55.1,40089,195,4.3
13195,GA,"Madison County, GA",13371,12973,80.8,58789,398,3
13197,GA,"Marion County, GA",3201,3083,64.9,47174,118,3.7
13199,GA,"Meriwether County, GA",8969,8616,72.9,53019,353,3.9
13201,GA,"Miller County, GA",2854,2776,62.1,45201,78,2.7
13205,GA,"Mitchell County, GA",8231,7894,62.3,45296,337,4.1
13207,GA,"Monroe County, GA",12721,12350,105.1,76428,371,2.9
13209,GA,"Montgomery County, GA",3820,3668,66.5,48356,152,4
13211,GA,"Morgan County, GA",9673,9404,102.2,74340,269,2.8
13213,GA,"Murray County, GA",15366,14735,85.4,62109,631,4.1
13215,GA,"Muscogee County, GA",74408,71202,73.9,53740,3206,4.3
13217,GA,"Newton County, GA",54193,52281,99.2,72128,1912,3.5
13219,GA,"Oconee County, GA",19998,19524,157.8,114758,474,2.4
13221,GA,"Oglethorpe County, GA",6913,6719,85.9,62504,194,2.8
13223,GA,"Paulding County, GA",91217,88756,120.2,87459,2461,2.7
13225,GA,"Peach County, GA",11789,11325,80.4,58471,464,3.9
13227,GA,"Pickens County, GA",15881,15460,98.9,71955,421,2.7
13229,GA,"Pierce County, GA",8675,8424,72.4,52695,251,2.9
13231,GA,"Pike County, GA",9181,8926,110.8,80626,255,2.8
13233,GA,"Polk County, GA",18596,18008,75.5,54894,588,3.2
13235,GA,"Pulaski County, GA",3980,3844,64.6,46975,136,3.4
13237,GA,"Putnam County, GA",8752,8439,85.6,62241,313,3.6
13239,GA,"Quitman County, GA",728,691,57.1,41516,37,5.1
13241,GA,"Rabun County, GA",7799,7566,87.1,63387,233,3
13243,GA,"Randolph County, GA",2374,2265,53.9,39188,109,4.6
13245,GA,"Richmond County, GA",82486,78895,68.8,50079,3591,4.4
13247,GA,"Rockdale County, GA",45162,43544,99,71984,1618,3.6
13249,GA,"Schley County, GA",2141,2058,79.1,57510,83,3.9
13251,GA,"Screven County, GA",4997,4772,72.5,52713,225,4.5
13253,GA,"Seminole County, GA",3095,2982,62.2,45223,113,3.7
13255,GA,"Spalding County, GA",29289,28282,75.7,55086,1007,3.4
13257,GA,"Stephens County, GA",10559,10169,71.5,51980,390,3.7
13259,GA,"Stewart County, GA",2592,2494,56.6,41158,98,3.8
13261,GA,"Sumter County, GA",12162,11645,61.4,44677,517,4.3
13263,GA,"Talbot County, GA",2786,2680,62.1,45163,106,3.8
13265,GA,"Taliaferro County, GA",542,519,57.9,42138,23,4.2
13267,GA,"Tattnall County, GA",9373,9080,65.2,47401,293,3.1
13269,GA,"Taylor County, GA",2591,2457,60.5,44035,134,5.2
13271,GA,"Telfair County, GA",3575,3364,57.1,41547,211,5.9
13273,GA,"Terrell County, GA",3477,3315,73.2,53281,162,4.7
13275,GA,"Thomas County, GA",17042,16421,71.8,52236,621,3.6
13277,GA,"Tift County, GA",21063,20461,72.8,52962,602,2.9
13279,GA,"Toombs County, GA",12003,11529,62,45125,474,3.9
13281,GA,"Towns County, GA",4047,3876,81.5,59273,171,4.2
13283,GA,"Treutlen County, GA",2618,2511,59.8,43533,107,4.1
13285,GA,"Troup County, GA",36794,35671,76.8,55852,1123,3.1
13287,GA,"Turner County, GA",3169,3036,56.2,40865,133,4.2
13289,GA,"Twiggs County, GA",2712,2582,67,48772,130,4.8
13291,GA,"Union County, GA",11401,11086,88.8,64588,315,2.8
13293,GA,"Upson County, GA",11644,11261,66.1,48061,383,3.3
13295,GA,"Walker County, GA",31259,30289,73.4,53407,970,3.1
13297,GA,"Walton County, GA",47915,46539,114.2,83037,1376,2.9
13299,GA,"Ware County, GA",15454,14968,66.3,48245,486,3.1
13301,GA,"Warren County, GA",2693,2587,61,44367,106,3.9
13303,GA,"Washington County, GA",6927,6646,66.6,48462,281,4.1
13305,GA,"Wayne County, GA",11847,11465,70.3,51102,382,3.2
13307,GA,"Webster County, GA",986,948,63.2,45987,38,3.9
13309,GA,"Wheeler County, GA",1629,1543,49.4,35952,86,5.3
13311,GA,"White County, GA",16922,16504,85.4,62100,418,2.5
13313,GA,"Whitfield County, GA",43138,41447,84.8,61680,1691,3.9
13315,GA,"Wilcox County, GA",2660,2558,61.7,44905,102,3.8
13317,GA,"Wilkes County, GA",3710,3556,65.1,47377,154,4.2
13319,GA,"Wilkinson County, GA",3485,3353,68.3,49648,132,3.8
13321,GA,"Worth County, GA",8736,8455,67.3,48956,281,3.2
