County,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
abbeville,26.35,38.1,48.25
acworth,13.75,21.4,31.15
adairsville,13.95,22.3,36.7
adel,19.5,33.75,42.25
adrian,19.7,34.1,40.35
ailey,19.6,33.5,40.8
alamo,26.95,39.9,49.95
alapaha,19.2,34.05,42.4
albany,20.4,33.9,44.7
allenhurst,16.7,27.95,47.1
allentown,17.35,29.9,40.95
alma,20.95,34.35,44.15
alpharetta,8.1,16.45,23.75
alston,18.4,31.4,40.7
alto,17.55,31.85,36.55
ambrose,15.3,28.85,36.65
americus,18.35,32.85,44.2
andersonville,17.45,29.4,40.15
antioch,12.8,20.9,30.85
appling,15.7,22.65,34.35
arabi,21.85,32.35,41.75
aragon,20.9,31.45,40.95
arcade,17.05,26.95,42.2
argyle,24.15,39.45,47.9
arlington,21.5,35.9,48.15
arnoldsville,20.3,29.95,37.3
ashburn,24.9,41.7,48.2
athens-clarke unified government (balance),14.55,25.4,34.7
atlanta,13,22.65,32
attapulgus,20.1,36.3,42.5
auburn,16.35,25.55,39.15
augusta-richmond consolidated government (balance),17.85,29.75,43.2
austell,15.75,24.25,35.55
avalon,18.55,29.15,38.8
avera,21.95,32.15,39.3
avondale estates,10.8,16.2,28.05
axson,22.15,36.3,40.8
baconton,19.3,33.3,45.3
bainbridge,19.45,32.55,41.35
baldwin,19.85,36.05,39.35
ball ground,13.85,21.45,35.25
barnesville,16.15,28.1,42.65
bartow,23.8,38.05,44.9
barwick,17.9,29.8,42.65
baxley,20.3,34.5,41.8
bellville,20.25,33.55,40.8
belvedere park,14.45,21.75,36
bemiss,16.8,25.55,37.15
berkeley lake,9.8,16.9,28.3
berlin,22.6,38.15,40.75
berry college,7.1,12.65,20.15
bethlehem,14.35,24,39.3
between,14.25,22.85,34.3
bishop,10.05,16.95,33.1
blackshear,17.75,29,41.3
blairsville,17.05,25.95,38
blakely,22.35,36.3,46.85
bloomingdale,13.3,20.3,33.35
blue ridge,19.15,30.25,39.15
bluffton,19.3,29.7,41.5
blythe,17.6,27.9,40
bogart,9.1,16.75,32.9
bolingbroke,14.8,22.2,35.15
bonanza,14,27.95,43.05
boston,18.5,30.85,43.65
bostwick,14.85,22.95,34.05
bowdon,18.5,29.75,38.6
bowersville,19.65,30.85,38.2
bowman,18.85,30.65,40.05
box springs,17.3,32.4,42.4
boykin,17.35,28.6,40.4
braselton,12.55,21.25,35.15
braswell,17.5,25.8,38.95
bremen,17,25.85,32.85
brinson,17.45,30.1,37.5
bristol,19.25,28.95,41.5
bronwood,17.15,31.05,43.5
brookhaven,9.35,15.45,27.3
brooklet,14.55,22.6,36.45
brooks,13.5,20.1,29.7
broxton,17.6,31.5,41.55
brunswick,21.15,37.3,43.6
buchanan,21.55,32.6,36.75
buckhead,12.15,19.725,34.8
buena vista,19,35.6,44.95
buford,15.1,26.45,34.95
butler,24.25,38.9,45.25
byromville,19.3,34.8,43.95
byron,16.35,27.35,40.05
