County,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
appling,18.55,31.4,40.65
atkinson,20.4,34.95,42.15
bacon,21.55,32.3,41.25
baker,17.3,32.7,42.05
baldwin,17.15,29.75,38.7
banks,21.85,30.45,36.85
barrow,14.35,24.95,40
bartow,15.4,26.2,37.9
ben hill,22.95,36.65,41.9
berrien,20.3,31.4,38.75
bibb,17.8,32.45,48.3
bleckley,16,27.05,41.6
brantley,20.9,31.65,39.45
brooks,21.05,35.7,42.2
bryan,13.75,21.7,37.4
bulloch,15.15,24.55,37.7
burke,18.8,30.65,44.9
butts,18.75,29.25,40.2
calhoun,23.85,36.8,46.6
camden,17.7,27.25,37.7
candler,21.45,35.2,44
carroll,14.6,25.15,36.6
catoosa,14.2,24.05,36.65
charlton,21.2,32,42.15
chatham,13.3,22.85,35.8
chattahoochee,16.6,27.55,40.6
chattooga,20.6,32.7,38.95
cherokee,13.35,22.25,35.5
clarke,14.1,25.75,35.3
clay,16,31.25,44.2
clayton,17.95,34.1,45.5
clinch,22.8,36.75,45
cobb,9.6,16.7,28.95
coffee,20.5,33.75,41.35
colquitt,21.55,36.2,40.25
columbia,15.1,24.05,36.15
cook,19.4,32.75,40.65
coweta,13.65,22,44.25
crawford,19.1,29.75,41.4
crisp,18.5,31.5,44.55
dade,15.45,24,35.75
dawson,12.4,21.65,34.85
decatur,18.55,31.7,39.8
dekalb,13.15,21.45,33.65
dodge,17.3,29.65,44.5
dooly,18.6,32.2,43.8
dougherty,18.5,32.05,44
douglas,14.85,26.85,43.05
early,20.45,34.1,44.85
echols,17.8,29.5,41.7
effingham,15,23.4,38.95
elbert,19.5,31.8,42.25
emanuel,21.85,33.6,42.65
evans,21.8,35.45,44.65
fannin,18.55,29.05,38.7
fayette,10.45,20.4,31.25
floyd,18.2,30.2,39.9
forsyth,10.05,18.8,31.75
franklin,18.65,29.7,36.45
fulton,10.65,19.9,30
gilmer,14.7,25.65,36.9
glascock,17.65,27.85,37.25
glynn,13.5,25.2,35.65
gordon,20.15,31,40.05
grady,19.2,34.6,41.7
greene,14.15,27.05,38.8
gwinnett,11.85,23.1,33.5
habersham,17.45,30,36.45
hall,17.05,28.8,34.95
hancock,21.75,36.55,47.3
haralson,18.8,27.7,33.95
harris,15,23.6,32.95
hart,16.05,27.25,35.85
heard,19.5,28.75,41.15
henry,13,23.85,39.45
houston,13.95,26.35,39.2
irwin,19.25,31.25,40.25
jackson,16.95,26.95,41.7
jasper,18.6,29.35,39.75
jeff davis,22.4,33.8,41.25
jefferson,22.95,37,44.2
jenkins,23.1,37.3,44.3
johnson,22.95,35.4,42.75
jones,17.6,28.55,40.05
lamar,17.55,28.05,41.2
lanier,21.25,33.85,41.15
laurens,19.2,31.55,41.35
lee,15.25,24.9,36.85
liberty,16.4,27.7,45
lincoln,16.45,27.75,37.5
long,18.25,29.2,41.5
lowndes,17.25,28.25,38.55
lumpkin,14.65,24.75,33.95
macon,25.95,41.8,48.2
madison,18.75,29.9,39.15
marion,19.65,32.65,39.85
mcduffie,16.55,30.65,43.65
mcintosh,18.35,31,42
meriwether,19.3,31.95,40.7
miller,21.1,34.6,41.3
mitchell,21.2,35.15,46.6
monroe,16.4,25.95,37.65
montgomery,21.35,33.15,42.4
morgan,13.45,23.2,36.05
murray,18.3,30.95,38.05
muscogee,17,30.95,41.65
newton,16.7,27.65,42.3
oconee,11.8,19.25,33.15
oglethorpe,17.2,28.2,36.15
paulding,15.3,25.2,38.8
peach,16.8,28.8,42.15
pickens,14.2,24.45,36.8
pierce,16.8,27.7,39.85
pike,14.5,24.3,34.45
polk,18.6,30.8,41.7
pulaski,19.8,33,43.25
putnam,16.7,29.75,41.9
quitman,18.85,32.95,43.7
rabun,15.8,25.5,36.6
randolph,25,43.15,47.95
richmond,18.1,30.15,44.05
rockdale,15.35,29,45
schley,17.2,28.7,38.2
screven,20.35,31.1,42.4
seminole,18.6,30.55,42.05
spalding,18.7,31,40.1
stephens,17.5,28.9,37.5
stewart,21,36.4,42.8
sumter,18.05,31.9,43.25
talbot,20.05,34.3,43.75
taliaferro,19.2,33.8,43.3
tattnall,20.2,32.7,46.05
taylor,23.05,36.5,42.65
telfair,21.75,37.55,45.65
terrell,21.65,36.3,46.95
thomas,16.75,27.05,38.8
tift,17.5,32.1,41.75
toombs,16.65,28.95,42.3
towns,13.3,24.7,36.5
treutlen,21.45,35.6,43.1
troup,16.4,28.5,41.6
turner,21.65,35.75,43.45
twiggs,18.25,31.9,42.1
union,17.25,27.2,37
upson,19.65,31.65,41.7
walker,19.85,32.2,41.65
walton,17.55,27.35,35.8
ware,20.8,31.9,39.35
warren,19.7,33.35,44.35
washington,19.7,32.65,43.15
wayne,20.95,31.95,41.45
webster,20,34.25,43.2
wheeler,24.75,34.55,47.3
white,14.35,22.65,35.35
whitfield,18.35,30.85,36.8
wilcox,19.9,31.65,41.25
wilkes,19.25,33.25,43.65
wilkinson,20.8,33.8,43.4
worth,18.5,31.05,39.1
